"game","superid","round","showScore","initScore","payoff","cumulativePayoff","cPayoffS","WealthLevel","coop","local_rate_coop","degree","happ","harm"
107,10702,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
107,10703,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
107,10704,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
107,10705,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
107,10706,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
107,10708,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
107,10709,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
107,10710,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
107,10711,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
107,10713,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
108,10800,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
108,10801,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
108,10802,0,0,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
108,10803,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
108,10805,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
108,10806,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
108,10808,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
108,10809,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
108,10810,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
108,10811,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
108,10812,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
108,10814,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
108,10816,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
108,10817,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
109,10901,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
109,10905,0,0,1150,NA,NA,NA,NA,NA,NA,2,NA,NA
109,10907,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
109,10908,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
109,10909,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
109,10910,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
109,10912,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
110,11000,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
110,11001,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
110,11002,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
110,11003,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
110,11004,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
110,11005,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
110,11006,0,0,200,NA,NA,NA,NA,NA,NA,8,NA,NA
110,11007,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
110,11008,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
110,11010,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
110,11011,0,0,1150,NA,NA,NA,NA,NA,NA,7,NA,NA
110,11012,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
110,11013,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
110,11014,0,0,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
110,11015,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
111,11100,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
111,11101,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
111,11102,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
111,11103,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
111,11104,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
111,11106,0,0,1150,NA,NA,NA,NA,NA,NA,1,NA,NA
111,11107,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
111,11108,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
111,11111,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
111,11113,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
112,11200,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
112,11201,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
112,11202,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
112,11204,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
112,11205,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
112,11206,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
112,11207,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
112,11208,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
112,11210,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
112,11211,0,0,200,NA,NA,NA,NA,NA,NA,7,NA,NA
112,11213,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
112,11214,0,0,1150,NA,NA,NA,NA,NA,NA,5,NA,NA
113,11300,0,0,1150,NA,NA,NA,NA,NA,NA,6,NA,NA
113,11301,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
113,11302,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
113,11303,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
113,11304,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
113,11306,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
113,11307,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
113,11309,0,0,200,NA,NA,NA,NA,NA,NA,1,NA,NA
113,11310,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
113,11311,0,0,200,NA,NA,NA,NA,NA,NA,8,NA,NA
113,11312,0,0,1150,NA,NA,NA,NA,NA,NA,3,NA,NA
113,11313,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
113,11314,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
114,11400,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
114,11401,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
114,11402,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
114,11403,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
114,11404,0,0,1150,NA,NA,NA,NA,NA,NA,7,NA,NA
114,11405,0,0,200,NA,NA,NA,NA,NA,NA,3,NA,NA
114,11406,0,0,1150,NA,NA,NA,NA,NA,NA,7,NA,NA
114,11409,0,0,200,NA,NA,NA,NA,NA,NA,6,NA,NA
114,11411,0,0,200,NA,NA,NA,NA,NA,NA,2,NA,NA
114,11412,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
114,11413,0,0,200,NA,NA,NA,NA,NA,NA,5,NA,NA
114,11414,0,0,1150,NA,NA,NA,NA,NA,NA,4,NA,NA
115,11500,0,0,200,NA,NA,NA,NA,NA,NA,4,NA,NA
