superid,round,game,showScore,initScore,payoff,cumulativePayoff,cPayoffS,WealthLevel,coop,local_rate_coop,degree,happ,harm,gender,age,prac_coop,initHapp,prac_cpayoff,initDegree,initNsize,prev_degree,post_coop_local_coop_rate,country3,yindex,rank,n_rewiring_chances,n_size,p_rewiring_chances,cPayoffS2,cumulativePayoffS,cumulativePayoffS2,payoffS,age2
10101,6,101,0,1150,200,2100,0.388017552203304,Middle,0,1,3,1,NA,male,-3,2,2,550,1,10,3,0.666666666666667,US,0.250055755864352,0.777777777777778,1,10,0.111111111111111,0.150557620817844,0.21,0.0441,0.02,9
10101,7,101,0,1150,150,2250,0.105907493395306,Middle,1,0.666666666666667,4,2,NA,male,-3,2,2,550,1,10,3,1,US,0.346606342021001,0.666666666666667,1,10,0.111111111111111,0.0112163971572768,0.225,0.050625,0.015,9
10101,8,101,0,1150,200,2450,-0.127190996234446,Middle,1,1,4,1,NA,male,-3,2,2,550,1,10,4,1,US,0.426998344501353,0.555555555555556,2,10,0.222222222222222,0.0161775495231109,0.245,0.060025,0.02,9
10101,9,101,0,1150,400,2850,-0.0384821006327275,Middle,0,1,3,1,NA,male,-3,2,2,550,1,10,4,1,US,0.394441531485456,0.666666666666667,4,10,0.444444444444444,0.00148087206910737,0.285,0.081225,0.04,9
10101,10,101,0,1150,-50,2800,-0.486720402926444,Middle,1,1,2,1,NA,male,-3,2,2,550,1,10,3,0.333333333333333,US,0.559070733091185,0.388888888888889,3,10,0.333333333333333,0.23689675062488,0.28,0.0784,-0.005,9
10101,11,101,0,1150,100,2900,-0.553185211462144,Poorer,1,1,4,2,NA,male,-3,2,2,550,1,10,2,1,US,0.600601086730327,0.333333333333333,4,10,0.444444444444444,0.306013878180417,0.29,0.0841,0.01,9
10101,12,101,0,1150,300,3200,-0.493196961916072,Middle,0,1,3,2,NA,male,-3,2,2,550,1,10,4,0.75,US,0.567176506203483,0.444444444444444,0,10,0,0.243243243243243,0.32,0.1024,0.03,9
10101,13,101,0,1150,150,3350,-0.504199702631195,Poorer,1,0.666666666666667,5,1,NA,male,-3,2,2,550,1,10,3,1,US,0.584031322214468,0.444444444444444,3,10,0.333333333333333,0.254217340133385,0.335,0.112225,0.015,9
10101,14,101,0,1150,150,3500,-0.560427720572953,Poorer,1,0.8,5,1,NA,male,-3,2,2,550,1,10,5,0.8,US,0.621426656145519,0.333333333333333,2,10,0.222222222222222,0.314079229986596,0.35,0.1225,0.015,9
10101,15,101,0,1150,150,3650,-0.617328056272804,Poorer,1,0.8,7,1,NA,male,-3,2,2,550,1,10,5,0.8,US,0.660148499482478,0.333333333333333,3,10,0.333333333333333,0.381093929061558,0.365,0.133225,0.015,9
10103,0,101,0,200,NA,200,-0.474341649025257,Middle,NA,NA,2,0,NA,male,3,1,0,750,2,10,NA,NA,US,0.474341649025257,0.388888888888889,0,10,0,0.225,0.02,4e-04,NA,9
10103,1,101,0,200,100,300,-0.659451463446995,Poorer,1,NA,2,1,NA,male,3,1,0,750,2,10,2,1,US,0.699826042841708,0.111111111111111,1,10,0.111111111111111,0.434876232642383,0.03,9e-04,0.01,9
10103,2,101,0,200,100,400,-0.95361451195034,Poorer,1,1,5,2,NA,male,3,1,0,750,2,10,2,1,US,0.980476892568659,0.111111111111111,4,10,0.444444444444444,0.909380637402285,0.04,0.0016,0.01,9
10103,3,101,0,200,150,550,-0.961686416838259,Poorer,1,1,6,1,NA,male,3,1,0,750,2,10,5,0.8,US,0.983542926311856,0.111111111111111,3,10,0.333333333333333,0.92484076433121,0.055,0.003025,0.015,9
10103,4,101,0,200,200,750,-0.878521375668924,Poorer,1,0.833333333333333,7,0,NA,male,3,1,0,750,2,10,6,0.833333333333333,US,0.905143235537679,0.111111111111111,1,10,0.111111111111111,0.771799807507219,0.075,0.005625,0.02,9
10103,5,101,0,200,350,1100,-0.88953979793984,Poorer,1,0.857142857142857,7,2,NA,male,3,1,0,750,2,10,7,1,US,0.936357682041936,0.111111111111111,1,10,0.111111111111111,0.791281052118851,0.11,0.0121,0.035,9
10103,6,101,0,200,350,1450,-0.732922043050686,Poorer,1,1,7,2,NA,male,3,1,0,750,2,10,7,1,US,0.784657716677793,0.166666666666667,1,10,0.111111111111111,0.537174721189592,0.145,0.021025,0.035,9
10103,7,101,0,200,350,1800,-0.760608361657197,Poorer,1,1,7,2,NA,male,3,1,0,750,2,10,7,1,US,0.808748131382336,0.166666666666667,1,10,0.111111111111111,0.578525079822845,0.18,0.0324,0.035,9
10103,8,101,0,200,250,2050,-0.853996689002707,Poorer,1,1,8,1,NA,male,3,1,0,750,2,10,7,0.857142857142857,US,0.89033697364112,0.111111111111111,1,10,0.111111111111111,0.729310344827586,0.205,0.042025,0.025,9
